Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
JsonList-master,com.sjapps.jsonlist,ExampleInstrumentedTest,useAppContext,4,1,0,20,1,,
JsonList-master,com.sjapps.jsonlist,App,onCreate,4,1,0,8,0,,
JsonList-master,com.sjapps.jsonlist,AppState,hasNewCrash,3,1,0,7,0,,
JsonList-master,com.sjapps.jsonlist,AppState,setHasNewCrash,3,1,1,11,0,,
JsonList-master,com.sjapps.jsonlist,AppState,hasCrashLogs,3,1,0,15,0,,
JsonList-master,com.sjapps.jsonlist,AppState,setHasCrashLogs,3,1,1,19,0,,
JsonList-master,com.sjapps.jsonlist,AppState,toString,3,1,0,23,0,,
JsonList-master,com.sjapps.jsonlist,FileSystem,loadDataToJsonObj,3,1,1,27,0,,
JsonList-master,com.sjapps.jsonlist,FileSystem,loadDataToJsonArray,3,1,1,30,0,,
JsonList-master,com.sjapps.jsonlist,FileSystem,LoadDataFromFile,28,5,4,34,0,,
JsonList-master,com.sjapps.jsonlist,FileSystem,LoadData,22,4,2,68,0,,
JsonList-master,com.sjapps.jsonlist,FileSystem,SaveData,14,2,3,94,0,,
JsonList-master,com.sjapps.jsonlist,FileSystem,loadStateData,5,2,1,108,0,com.sjapps.jsonlist.FileSystem,com.sjapps.jsonlist.FileSystem
JsonList-master,com.sjapps.jsonlist,FileSystem,loadLogData,5,2,1,115,0,com.sjapps.jsonlist.FileSystem,com.sjapps.jsonlist.FileSystem
JsonList-master,com.sjapps.jsonlist,FileSystem,SaveState,3,1,2,122,0,com.sjapps.jsonlist.FileSystem,com.sjapps.jsonlist.FileSystem
JsonList-master,com.sjapps.jsonlist,FileSystem,SaveLog,3,1,2,126,0,com.sjapps.jsonlist.FileSystem,com.sjapps.jsonlist.FileSystem
JsonList-master,com.sjapps.jsonlist,FileSystem,createTempFile,15,2,3,130,0,,
JsonList-master,com.sjapps.jsonlist,FileSystem,deleteTempFile,4,1,2,145,0,,
JsonList-master,com.sjapps.jsonlist,functions,timeFormat,5,2,1,16,0,,
JsonList-master,com.sjapps.jsonlist,functions,timeFormatShort,5,2,1,23,0,,
JsonList-master,com.sjapps.jsonlist,functions,setAnimation,3,1,3,30,0,com.sjapps.jsonlist.functions,com.sjapps.jsonlist.functions
JsonList-master,com.sjapps.jsonlist,functions,setAnimation,5,2,4,34,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,onResume,5,1,0,83,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,onCreate,97,18,1,90,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,onConfigurationChanged,11,2,1,209,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,checkCrashLogs,21,3,0,221,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,OpenAbout,3,1,0,246,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,OpenLogPage,3,1,0,250,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,handleOnBackPressed,27,5,0,255,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,initialize,24,1,0,290,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,open_closeMenu,14,2,0,315,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,LoadData,70,7,1,332,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,open,30,6,3,405,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,open_closeSplitView,14,3,0,442,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,ShowJSON,22,5,0,460,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,ImportFromFile,10,2,0,488,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,ReadFile,27,3,1,518,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,loadingStarted,3,1,0,548,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,loadingStarted,13,2,1,553,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,updateProgress,6,1,1,566,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,loadingFinished,23,2,1,573,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,setColor,5,1,1,598,0,,
JsonList-master,com.sjapps.jsonlist,MainActivity,fileTooLargeException,3,1,0,604,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,fileNotLoadedException,3,1,0,607,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,creatingListException,3,1,0,610,0,com.sjapps.jsonlist.MainActivity,com.sjapps.jsonlist.MainActivity
JsonList-master,com.sjapps.jsonlist,MainActivity,postMessageException,7,1,1,613,0,,
JsonList-master,com.sjapps.jsonlist,ExampleUnitTest,addition_isCorrect,3,1,0,13,1,,
JsonList-master,com.sjapps.about,AboutActivity,onCreate,22,1,1,42,0,com.sjapps.about.AboutActivity,com.sjapps.about.AboutActivity
JsonList-master,com.sjapps.about,AboutActivity,setupList,6,1,2,69,0,,
JsonList-master,com.sjapps.about,AboutActivity,initialize,10,2,0,76,0,com.sjapps.about.AboutActivity,com.sjapps.about.AboutActivity
JsonList-master,com.sjapps.about,AboutActivity,CheckForUpdate,16,3,1,87,0,com.sjapps.about.AboutActivity,com.sjapps.about.AboutActivity
JsonList-master,com.sjapps.about,AboutActivity,openGitHub,4,1,0,110,0,,
JsonList-master,com.sjapps.about,AboutActivity,openStore,7,1,0,115,0,,
JsonList-master,com.sjapps.about,AboutActivity,CheckStoreIsInstalled,11,1,0,123,0,,
JsonList-master,com.sjapps.about,AboutActivity,Back,3,1,1,134,0,,
JsonList-master,com.sjapps.about,AboutListAdapter,AboutListAdapter,3,1,1,46,0,,
JsonList-master,com.sjapps.about,AboutListAdapter,onCreateViewHolder,4,1,2,50,0,,
JsonList-master,com.sjapps.about,AboutListAdapter,onBindViewHolder,8,2,2,57,0,,
JsonList-master,com.sjapps.about,AboutListAdapter,getItemCount,3,1,0,68,0,,
JsonList-master,com.sjapps.about,AboutListItem,AboutListItem,4,1,2,10,0,,
JsonList-master,com.sjapps.about,AboutListItem,item,3,1,2,14,0,,
JsonList-master,com.sjapps.about,AboutListItem,AboutListItem,5,1,3,17,0,,
JsonList-master,com.sjapps.about,AboutListItem,getItemName,3,1,0,23,0,,
JsonList-master,com.sjapps.about,AboutListItem,setItemName,3,1,1,27,0,,
JsonList-master,com.sjapps.about,AboutListItem,getItemValue,3,1,0,31,0,,
JsonList-master,com.sjapps.about,AboutListItem,setItemValue,3,1,1,35,0,,
JsonList-master,com.sjapps.about,AboutListItem,getOnClickListener,3,1,0,39,0,,
JsonList-master,com.sjapps.about,AboutListItem,setOnClickListener,3,1,1,43,0,,
JsonList-master,com.sjapps.about,ImageItemClick,onClick,0,1,0,4,0,,
JsonList-master,com.sjapps.about,LibraryList,init,6,1,0,7,0,,
JsonList-master,com.sjapps.about,ListGenerator,getItems,5,1,1,13,0,,
JsonList-master,com.sjapps.about,ListGenerator,addItem,3,1,2,19,0,,
JsonList-master,com.sjapps.about,ListGenerator,addItem,7,1,3,22,0,,
JsonList-master,com.sjapps.about,ListGenerator,addItem,3,1,3,28,0,,
JsonList-master,com.sjapps.about,ListInit,init,0,1,0,4,0,,
JsonList-master,com.sjapps.adapters,ListAdapter,ListAdapter,6,1,3,91,0,,
JsonList-master,com.sjapps.adapters,ListAdapter,getItemViewType,4,1,1,98,0,,
JsonList-master,com.sjapps.adapters,ListAdapter,onCreateViewHolder,15,4,2,106,0,,
JsonList-master,com.sjapps.adapters,ListAdapter,onBindViewHolder,51,6,2,124,0,,
JsonList-master,com.sjapps.adapters,ListAdapter,getItemCount,6,4,0,187,0,com.sjapps.adapters.ListAdapter,com.sjapps.adapters.ListAdapter
JsonList-master,com.sjapps.adapters,ListAdapter,getLast,3,1,0,200,0,,
JsonList-master,com.sjapps.adapters,ListAdapter,getItemId,3,1,1,204,0,,
JsonList-master,com.sjapps.adapters,ListAdapter,setHighlightItem,3,1,1,209,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,getPath,3,1,0,14,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,setPath,3,1,1,18,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,getRootList,3,1,0,22,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,setRootList,3,1,1,26,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,setRawData,3,1,1,30,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,getRawData,3,1,0,34,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,isEmptyPath,3,1,0,38,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,clearPath,3,1,0,41,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,splitPath,3,1,0,44,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,splitPath,3,1,1,47,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,isRootListNull,3,1,0,51,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,goBack,8,3,0,55,0,com.sjapps.jsonlist.java.JsonData,com.sjapps.jsonlist.java.JsonData
JsonList-master,com.sjapps.jsonlist.java,JsonData,addPreviousPos,3,1,1,68,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,getPreviousPos,3,1,0,72,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,clearPreviousPos,3,1,0,76,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonData,getPathFormat,9,2,1,80,0,com.sjapps.jsonlist.java.JsonData,com.sjapps.jsonlist.java.JsonData
JsonList-master,com.sjapps.jsonlist.java,JsonData,getName,4,2,1,92,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,getJsonArrayRoot,9,1,1,14,0,com.sjapps.jsonlist.java.JsonFunctions,com.sjapps.jsonlist.java.JsonFunctions
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,getJsonArray,27,4,1,24,0,com.sjapps.jsonlist.java.JsonFunctions,com.sjapps.jsonlist.java.JsonFunctions
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,isArrayOfObjects,8,3,1,56,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,isArrayOfArray,8,3,1,65,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,getJsonObject,12,2,1,74,0,com.sjapps.jsonlist.java.JsonFunctions,com.sjapps.jsonlist.java.JsonFunctions
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,setArrayName,11,3,2,88,0,com.sjapps.jsonlist.java.JsonFunctions,com.sjapps.jsonlist.java.JsonFunctions
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,getStringFromJson,3,1,1,99,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,setItem,15,3,3,103,0,com.sjapps.jsonlist.java.JsonFunctions,com.sjapps.jsonlist.java.JsonFunctions
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,getArrayList,9,2,1,120,0,com.sjapps.jsonlist.java.JsonFunctions,com.sjapps.jsonlist.java.JsonFunctions
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,setId,5,2,2,130,0,,
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,getListFromPath,22,8,2,137,0,com.sjapps.jsonlist.java.JsonFunctions,com.sjapps.jsonlist.java.JsonFunctions
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,getAsPrettyPrint,5,1,1,173,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,ListItem,2,1,0,16,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,getName,3,1,0,20,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,setName,3,1,1,24,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,getValue,3,1,0,28,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,setValue,3,1,1,32,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,isArray,3,1,0,36,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,setIsArray,3,1,1,40,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,isObject,3,1,0,44,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,setIsObject,3,1,1,48,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,isSpace,3,1,0,52,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,setIsSpace,3,1,1,56,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,getObjects,3,1,0,60,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,setObjects,3,1,1,64,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,getListObjects,3,1,0,68,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,setListObjects,3,1,1,72,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,setId,3,1,1,76,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,getId,3,1,0,80,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,toString,3,1,0,84,0,,
JsonList-master,com.sjapps.jsonlist.java,ListItem,Space,4,1,0,98,0,com.sjapps.jsonlist.java.ListItem,com.sjapps.jsonlist.java.ListItem
JsonList-master,com.sjapps.jsonlist.java,ListItem,equals,6,3,1,103,0,com.sjapps.jsonlist.java.ListItem,com.sjapps.jsonlist.java.ListItem
JsonList-master,com.sjapps.jsonlist.java,ListItem,hashCode,3,1,0,111,0,com.sjapps.jsonlist.java.ListItem,com.sjapps.jsonlist.java.ListItem
JsonList-master,com.sjapps.jsonlist.java,GetArrayListTest,testGetArrayList,25,1,0,14,1,,
JsonList-master,com.sjapps.jsonlist.java,GetArrayListTest,testGetArrayListEmpty,6,1,0,46,1,,
JsonList-master,com.sjapps.jsonlist.java,GetJsonArrayRootTest,getJsonArrayRootTest,20,1,0,18,1,,
JsonList-master,com.sjapps.jsonlist.java,GetJsonArrayRootTest,getJsonArrayRootTest2,35,1,0,47,1,,
JsonList-master,com.sjapps.jsonlist.java,GetJsonArrayRootTest,testGetJsonArrayRootWithEmptyArray,9,1,0,98,1,,
JsonList-master,com.sjapps.jsonlist.java,GetJsonObjectTest,testGetJsonObjectWithNestedObject,14,1,0,16,1,,
JsonList-master,com.sjapps.jsonlist.java,GetJsonObjectTest,testGetJsonObjectWithNestedArray,14,1,0,34,1,,
JsonList-master,com.sjapps.jsonlist.java,GetJsonObjectTest,testGetJsonObjectFromString,11,1,0,54,1,,
JsonList-master,com.sjapps.jsonlist.java,GetJsonObjectTest,getJsonObjectFromString,33,1,0,71,1,,
JsonList-master,com.sjapps.jsonlist.java,GetJsonObjectTest,getJsonObjectFromStringObject,32,1,0,120,1,,
JsonList-master,com.sjapps.jsonlist.java,GetJsonObjectTest,getJsonObjectFromStringArray,35,1,0,166,1,,
JsonList-master,com.sjapps.jsonlist.java,GetListFromPathTest,testGetListFromPathWithNestedStructureObject,34,1,0,14,1,,
JsonList-master,com.sjapps.jsonlist.java,GetListFromPathTest,testGetListFromPathWithNestedStructureArrayOfObjects,41,1,0,61,1,,
JsonList-master,com.sjapps.jsonlist.java,GetListFromPathTest,testGetListFromPathGoBack,31,1,0,120,1,,
JsonList-master,com.sjapps.jsonlist.java,IsArrayOfObjectsTest,testIsArrayOfObjects_true,7,1,0,18,1,,
JsonList-master,com.sjapps.jsonlist.java,IsArrayOfObjectsTest,testIsArrayOfObjects_true2,12,1,0,30,1,,
JsonList-master,com.sjapps.jsonlist.java,IsArrayOfObjectsTest,testIsArrayOfObjects_true3,10,1,0,48,1,,
JsonList-master,com.sjapps.jsonlist.java,IsArrayOfObjectsTest,testIsArrayOfObjects_true4,10,1,0,63,1,,
JsonList-master,com.sjapps.jsonlist.java,IsArrayOfObjectsTest,testIsArrayOfObjects_false,7,1,0,79,1,,
JsonList-master,com.sjapps.jsonlist.java,IsArrayOfObjectsTest,testIsArrayOfObjects_false2,10,1,0,91,1,,
JsonList-master,com.sjapps.jsonlist.java,IsArrayOfObjectsTest,testIsArrayOfObjects_false3,10,1,0,105,1,,
JsonList-master,com.sjapps.jsonlist.java,JsonFunctionsTest,testGetJsonArrayRoot,10,1,0,16,1,,
JsonList-master,com.sjapps.jsonlist.java,JsonFunctionsTest,testGetJsonArray,8,1,0,30,1,,
JsonList-master,com.sjapps.jsonlist.java,JsonFunctionsTest,testIsArrayOfObjects,7,1,0,42,1,,
JsonList-master,com.sjapps.jsonlist.java,JsonFunctionsTest,testGetJsonObject,8,1,0,53,1,,
JsonList-master,com.sjapps.logs,CrashLogs,addLog,3,1,1,9,0,,
JsonList-master,com.sjapps.logs,CrashLogs,getLogs,3,1,0,13,0,,
JsonList-master,com.sjapps.logs,CrashLogs,setLogs,3,1,1,17,0,,
JsonList-master,com.sjapps.logs,CrashLogs,toString,3,1,0,21,0,,
JsonList-master,com.sjapps.logs,CustomExceptionHandler,CustomExceptionHandler,4,1,1,25,0,,
JsonList-master,com.sjapps.logs,CustomExceptionHandler,uncaughtException,19,2,2,31,0,,
JsonList-master,com.sjapps.logs,LogActivity,onCreate,11,2,1,37,0,com.sjapps.logs.LogActivity,com.sjapps.logs.LogActivity
JsonList-master,com.sjapps.logs,LogActivity,onResume,4,1,0,54,0,,
JsonList-master,com.sjapps.logs,LogActivity,onDestroy,3,1,0,61,0,,
JsonList-master,com.sjapps.logs,LogActivity,Back,3,1,1,68,0,,
JsonList-master,com.sjapps.logs,LogActivity,deleteLog,9,1,1,72,0,,
JsonList-master,com.sjapps.logs,LogActivity,update,15,3,0,84,0,com.sjapps.logs.LogActivity,com.sjapps.logs.LogActivity
JsonList-master,com.sjapps.logs,LogActivity,getDeviceInfo,28,2,0,106,0,,
JsonList-master,com.sjapps.logs,LogActivity,shareLog,27,4,1,138,0,,
JsonList-master,com.sjapps.logs,LogActivity,share,10,1,0,171,0,,
JsonList-master,com.sjapps.logs,LogActivity,copyToClipboard,6,1,0,187,0,,
